"url","date","ort","land","codex","disziplin","gender","category","kommentar"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62252","04.01.2011","Zagreb","CRO",5368,"Slalom","L","WC","Night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62993","06.01.2011","Zagreb","CRO",391,"Slalom","M","WC","Night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62251","29.12.2010","Semmering","AUT",5119,"Slalom","L","WC","Night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75178","07.03.2014","Are","SWE",5339,"Giant Slalom","L","WC","Night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75229","28.01.2014","Schladming","AUT",72,"Slalom","M","WC","Night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75160","14.01.2014","Flachau","AUT",5067,"Slalom","L","WC","Night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78927","27.01.2015","Schladming","AUT",72,"Slalom","M","WC","Night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78903","13.01.2015","Flachau","AUT",5060,"Slalom","L","WC","Night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=11706","20.12.2000","Sestriere","ITA",5245,"Slalom","L","WC","Jasna21.12"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=11705","19.12.2000","Sestriere","ITA",5246,"Giant Slalom","L","WC","Jasna 20.12"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=71008","27.01.2013","Kitzbuehel","AUT",151,"Super Combined","M","WC","Combined format"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=49869","12.03.2008","Bormio","ITA",6187,"Downhill","L","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=52991","02.03.2008","Arber","GER",6081,"Slalom","L","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=54032","08.03.2009","Kvitfjell","NOR",1137,"Super G","M","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=59270","05.03.2010","Crans Montana","SUI",6358,"Super Combined","L","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62360","17.03.2011","Lenzerheide","SUI",6360,"Super G","L","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62361","17.03.2011","Lenzerheide","SUI",1450,"Super G","M","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62363","18.03.2011","Lenzerheide","SUI",1451,"Giant Slalom","M","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62364","19.03.2011","Lenzerheide","SUI",6362,"Giant Slalom","L","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62265","30.01.2011","Sestriere","ITA",5810,"Downhill","L","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=66735","25.02.2012","Bansko","BUL",5224,"Downhill","L","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=70705","13.03.2013","Lenzerheide","SUI",6281,"Downhill","L","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=70706","13.03.2013","Lenzerheide","SUI",1347,"Downhill","M","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=70707","14.03.2013","Lenzerheide","SUI",6282,"Super G","L","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=70708","14.03.2013","Lenzerheide","SUI",1348,"Super G","M","WC","Cancelled"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=22716","29.12.2002","Semmering","AUT",5750,"Slalom","L","WC","by night"
